swe_id,clause,requirement,source_document,source_url
SWE-022,3.6.1,"The project manager shall plan and implement software assurance, software safety, and IV&V (if required) per NASA-STD-8739.8, Software Assurance and Software Safety Standard.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-141,3.6.2,"For projects reaching Key Decision Point A, the program manager shall ensure that software IV&V is performed on the following categories of projects:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-131,3.6.3,"If software IV&V is required for a project, the project manager, in consultation with NASA IV&V, shall ensure an IPEP is developed, approved, maintained, and executed in accordance with IV&V requirements in NASA-STD-8739.8.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-178,3.6.4,"If software IV&V is performed on a project, the project manager shall ensure that IV&V is provided access to development artifacts, products, source code, and data required to perform the IV&V analysis efficiently and effectively.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-179,3.6.5,"If software IV&V is performed on a project, the project manager shall provide responses to IV&V submitted issues and risks and track these issues and risks to closure.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-205,3.7.1,"The project manager, in conjunction with the SMA organization, shall determine if each software component is considered to be safety-critical per the criteria defined in NASA-STD-8739.8.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-023,3.7.2,"If a project has safety-critical software, the project manager shall implement the safety-critical software requirements contained in NASA-STD-8739.8.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-134,3.7.3,"If a project has safety-critical software or mission-critical software, the project manager shall implement the following items in the software:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-219,3.7.4,"If a project has safety-critical software, the project manager shall ensure that there is 100 percent code test coverage using the Modified Condition/Decision Coverage (MC/DC) criterion for all identified safety-critical software components.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-220,3.7.5,"If a project has safety-critical software, the project manager shall ensure all identified safety-critical software components have a cyclomatic complexity value of 15 or lower. Any exceedance shall be reviewed and waived with rationale by the project manager or technical approval authority.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-146,3.8.1,The project manager shall define the approach to the automatic generation of software source code including:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-206,3.8.2,"The project manager shall require the software developers and custom software suppliers to provide NASA with electronic access to the models, simulations, and associated data used as inputs for auto-generation of software.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-032,3.9.2,"The project manager shall acquire, develop, and maintain software from an organization with a non-expired CMMI®-DEV rating as measured by a CMMI® Institute Certified Lead Appraiser as follows:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-147,3.10.1,"The project manager shall specify reusability requirements that apply to its software development activities to enable future reuse of the software, including the models, simulations, and associated data used as inputs for auto-generation of software, for U.S. Government purposes.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-148,3.10.2,"The project manager shall evaluate software for potential reuse by other projects across NASA and contribute reuse candidates to the appropriate NASA internal sharing and reuse software system. However, if the project manager is not a civil servant, then a civil servant will pre-approve all such software contributions; all software contributions should include, at a minimum, the following information:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-156,3.11.2,"The project manager shall perform a software cybersecurity assessment on the software components per the Agency security policies and the project requirements, including risks posed by the use of COTS, GOTS, MOTS, OSS, or reused software components.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-154,3.11.3,"The project manager shall identify cybersecurity risks, along with their mitigations, in flight and ground software systems and plan the mitigations for these systems.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-157,3.11.4,"The project manager shall implement protections for software systems with communications capabilities against unauthorized access per the requirements contained in the NASA-STD-1006, Space System Protection Standard.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-159,3.11.5,The project manager shall test the software and record test results for the required software cybersecurity mitigation implementations identified from the security vulnerabilities and security weaknesses analysis.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-207,3.11.6,"The project manager shall identify, record, and implement secure coding practices.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-185,3.11.7,The project manager shall verify that the software code meets the project’s secure coding standard by using the results from static analysis tool(s).,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-210,3.11.8,"The project manager shall identify software requirements for the collection, reporting, and storage of data relating to the detection of adversarial actions.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-052,3.12.1,"The project manager shall perform, record, and maintain bi-directional traceability between the following software elements:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-050,4.1.2,"The project manager shall establish, capture, record, approve, and maintain software requirements, including requirements for COTS, GOTS, MOTS, OSS, or reused software components, as part of the technical specification.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-051,4.1.3,"The project manager shall perform software requirements analysis based on flowed-down and derived requirements from the top-level systems engineering requirements, safety and reliability analyses, and the hardware specifications and design.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-184,4.1.4,"The project manager shall include software related safety constraints, controls, mitigations, and assumptions between the hardware, operator, and software in the software requirements documentation.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-053,4.1.5,The project manager shall track and manage changes to the software requirements.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-054,4.1.6,"The project manager shall identify, initiate corrective actions, and track until closure inconsistencies among requirements, project plans, and software products.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-055,4.1.7,The project manager shall perform requirements validation to ensure that the software will perform as intended in the customer environment.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-057,4.2.3,The project manager shall transform the requirements for the software into a recorded software architecture.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-143,4.2.4,The project manager shall perform a software architecture review on the following categories of projects:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-058,4.3.2,"The project manager shall develop, record, and maintain a software design based on the software architectural design that describes the lower-level units so that they can be coded, compiled, and tested.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-060,4.4.2,The project manager shall implement the software design into software code.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-061,4.4.3,"The project manager shall select, define, and adhere to software coding methods, standards, and criteria.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-135,4.4.4,"The project manager shall use static analysis tools to analyze the code during the development and testing phases to, at a minimum, detect defects, software security, code coverage, and software complexity.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-062,4.4.5,The project manager shall unit test the software code.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-186,4.4.6,The project manager shall assure that the unit test results are repeatable.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-063,4.4.7,The project manager shall provide a software version description for each software release.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-136,4.4.8,The project manager shall validate and accredit the software tool(s) required to develop or maintain software.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-065,4.5.2,The project manager shall establish and maintain:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-066,4.5.3,The project manager shall test the software against its requirements.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-187,4.5.4,The project manager shall place software items under configuration management prior to testing.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-068,4.5.5,The project manager shall evaluate test results and record the evaluation.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-070,4.5.6,"The project manager shall use validated and accredited software models, simulations, and analysis tools required to perform qualification of flight software or flight equipment.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-071,4.5.7,The project manager shall update the software test and verification plan(s) and procedure(s) to be consistent with software requirements.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-073,4.5.8,The project manager shall validate the software system on the targeted platform or high-fidelity simulation.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-189,4.5.9,"The project manager shall ensure that the code coverage measurements for the software are selected, implemented, tracked, recorded, and reported.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-190,4.5.10,The project manager shall verify code coverage is measured by analysis of the results of the execution of tests.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-191,4.5.11,The project manager shall plan and conduct software regression testing to demonstrate that defects have not been introduced into previously integrated or tested software and have not produced a security vulnerability.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-192,4.5.12,"The project manager shall verify through test the software requirements that trace to a hazardous event, cause, or mitigation technique.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-193,4.5.13,"The project manager shall develop acceptance tests for loaded or uplinked data, rules, and code that affects software and software system behavior.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-211,4.5.14,"The project manager shall test embedded COTS, GOTS, MOTS, OSS, or reused software components to the same level required to accept a custom developed software component for its intended use.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-075,4.6.2,"The project manager shall plan and implement software operations, maintenance, and retirement activities.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-077,4.6.3,"The project manager shall complete and deliver the software product to the customer with appropriate records, including as-built records, to support the operations and maintenance phase of the software’s life cycle.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-194,4.6.4,"The project manager shall complete, prior to delivery, verification that all software requirements identified for this delivery have been met or dispositioned, that all approved changes have been implemented, and that all defects designated for resolution prior to delivery have been resolved.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-195,4.6.5,The project manager shall maintain the software using standards and processes per the applicable software classification throughout the maintenance phase.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-196,4.6.6,"The project manager shall identify the records and software tools to be archived, the location of the archive, and procedures for access to the products for software retirement or disposal.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-079,5.1.2,"The project manager shall develop a software configuration management plan that describes the functions, responsibilities, and authority for the implementation of software configuration management for the project.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-080,5.1.3,The project manager shall track and evaluate changes to software products.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-081,5.1.4,"The project manager shall identify the software configuration items (e.g., software records, code, data, tools, models, scripts) and their versions to be controlled for the project.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-082,5.1.5,The project manager shall establish and implement procedures to:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-083,5.1.6,The project manager shall prepare and maintain records of the configuration status of software configuration items.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-084,5.1.7,The project manager shall perform software configuration audits to determine the correct version of the software configuration items and verify that they conform to the records that define them.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-085,5.1.8,"The project manager shall establish and implement procedures for the storage, handling, delivery, release, and maintenance of deliverable software products.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-045,5.1.9,The project manager shall participate in any joint NASA/developer audits.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-086,5.2,"The project manager shall record, analyze, plan, track, control, and communicate all of the software risks and mitigation plans.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-087,5.3.2,The project manager shall perform and report the results of software peer reviews or software inspections for:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-088,5.3.3,"The project manager shall, for each planned software peer review or software inspection:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-089,5.3.4,"The project manager shall, for each planned software peer review or software inspection, record necessary measurements.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-090,5.4.2,"The project manager shall establish, record, maintain, report, and utilize software management and technical measurements.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-093,5.4.3,The project manager shall analyze software measurement data collected using documented project-specified and Center/organizational analysis procedures.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-094,5.4.4,"The project manager shall provide access to the software measurement data, measurement analyses, and software development status as requested to the sponsoring Mission Directorate, the NASA Chief Engineer, the Center Technical Authorities, HQ SMA, and other organizations as appropriate.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-199,5.4.5,"The project manager shall monitor measures to ensure the software will meet or exceed performance and functionality requirements, including satisfying constraints.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-200,5.4.6,"The project manager shall collect, track, and report software requirements volatility metrics.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-201,5.5.1,The project manager shall track and maintain software non-conformances (including defects in tools and appropriate ground software).,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-202,5.5.2,"The project manager shall define and implement clear software severity levels for all software non-conformances (including tools, COTS, GOTS, MOTS, OSS, reused software components, and applicable ground systems).",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
